Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation,Codebook Info,Form Info
ses_ladder1,survey_measures,demographics,slider,"Think of this ladder image below as representing where people stand in the United States.  

At the top of the ladder are the people who have the most money, the most education, and the most respected jobs. 

At the bottom are the people who have the least money, least education, and the least respected jobs or no job.


Relative to other people in the United States right now, where would you place yourself on this ladder?

Click the rung that best matches your position.",Worst off in the U.S. |  | Best off in the U.S.,,number,1,10,,,,RH,,,,,,
ses_ladder_2,survey_measures,demographics,slider,"Think of this next ladder as representing where people stand in your neighborhood.  

At the top of the ladder are the people who have the most money, the most education, and the most respected jobs. 

At the bottom are the people who have the least money, least education, and the least respected jobs or no job.


Relative to other people in your neighborhood right now, where would you place yourself on this ladder?

Click the rung that best matches your position.",Worst off in your neighborhood |  | Best off in your neighborhood,,number,1,10,,,,RH,,,,,,
employed,survey_measures,demographics,radio,"We would like to know about what you do. Are you working now, looking for work, retired, keeping house, a student, or something else?","1, Working now | 2, Temporarily laid off, on sick leave, or on maternity leave | 3, Looking for work, unemployed | 4, Retired | 5, Disabled, permanently or temporarily | 6, Keeping house | 7, Student | 8, Something else | 9, Prefer not to say",,,,,,,,RH,,,,,,
employed_8_text,survey_measures,demographics,text,"Text entry for employed=""Something else""",,,,,,,[employed]=8,,RH,,,,,,
income_household,survey_measures,demographics,radio,"Which of these categories best describes your total combined household income for the past 12 months? 

This should include income (before taxes) from all sources, wages, rent from properties, social security, disability and/or veteran's benefits, unemployment benefits, workman's compensation, help from relatives (including child payments and alimony), and so on.

Household annual income:","1, Less than $5,000 | 2, $5,000 through $11,999 | 3, $12,000 through $15,999 | 4, $16,000 through $24,999 | 5, $25,000 through $34,999 | 6, $35,000 through $49,999 | 7, $50,000 through $74,999 | 8, $75,000 through $99,999 | 9, $100,000 and greater | 10, I don't know | 11, Prefer not to say",,,,,,,,,,,,,,
jobtitle,survey_measures,demographics,text,What is your job title?,,,,,,,[employed]=1 or [employed]=2 or [employed]=3 or [employed]=4,,,,,,,,
occupation,survey_measures,demographics,text,"What is your occupation? (e.g., registered nurse, janitor, cashier, auto mechanic, etc.)",,,,,,,[employed]=1 or [employed]=2 or [employed]=3 or [employed]=4,,,,,,,,
industry,survey_measures,demographics,text,"What is your industry or field of work? (e.g., hospital, elementary school, clothing manufacturing, restaurant, etc.)",,,,,,,[employed]=1 or [employed]=2 or [employed]=3 or [employed]=4,,,,,,,,
sm_session,survey_measures,,text,"Qualtrics Session (1, 2, or 3)",,,,,,,,,,,,,,,Variables were generated from Qualtrics
sm_startdate,survey_measures,,text,Start Date from qualtrics,,,datetime_seconds_ymd,,,,,,,,,,,,
sm_enddate,survey_measures,,text,End Date from qualtrics,,,datetime_seconds_ymd,,,,,,,,,,,,
sm_progress,survey_measures,,text,Progress from qualtrics,,,,,,,,,,,,,,,
sm_duration,survey_measures,,text,Duration from qualtrics,,,number,,,,,,,,,,,,
sm_finished,survey_measures,,text,Finished from qualtrics,,,,,,,,,,,,,,,
sm_recordeddate,survey_measures,,text,Recorded Date from qualtrics,,,,,,,,,,,,,,,
sm_responseid,survey_measures,,text,Qualtrics Response Id,,,,,,,,,,,,,,,
q_straightliningcount,survey_measures,,text,# of items in straightlining,,,,,,,,,,,,,,,
q_straightliningpercentage,survey_measures,,text,% of questions straightlined,,,,,,,,,,,,,,,
q_straightliningquestions,survey_measures,,text,QIDs for the straightlined questions,,,,,,,,,,,,,,,
q_unansweredquestions,survey_measures,,text,QIDs for unanswered questions,,,,,,,,,,,,,,,
t1_bhv_filter,survey_measures,t1onlysmoking_behavior_from_qualtrics,radio,What color is the filter of the tobacco cigarettes you smoke most often?,"2, White | 1, Brown | 3, Other (please specify)",,,,,,,,,,,,,,
t1_bhv_filter_3_text,survey_measures,t1onlysmoking_behavior_from_qualtrics,text,"Text entry for t1_bhv_filter=""Other (please specify)""",,,,,,,,,,,,,,,
t1_lisa_01,survey_measures,t1onlysmoking_behavior_from_qualtrics,dropdown,About how many different stores do you purchase cigarettes from in a typical week?,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, More than five",,,,,,,,,,,,,,
t1_lisa_02,survey_measures,t1onlysmoking_behavior_from_qualtrics,radio,What type of store do you buy your cigarettes from most of the time?,"1, Convenience store or gas station | 2, Supermarket or grocery store | 3, Pharmacy or drug store | 4, Warehouse club (e.g., Costco, Sams) or discount store (e.g., Walmart, Family Dollar) | 5, Liquor store | 6, Smoke shop, tobacco specialty store, or tobacco outlet store | 7, Duty-free shop or military commissary | 8, Store on an Indian reservation | 9, Or from somewhere else, please specify:",,,,,,,,,,,,,,
t1_lisa_02_9_text,survey_measures,t1onlysmoking_behavior_from_qualtrics,text,"Text entry for t1_lisa_02=""Or from somewhere else, please specify:""",,,,,,,,,,,,,,,
t1_habit_01_new_1,survey_measures,t1onlysmoking_behavior_from_qualtrics,text,Where do you usually buy your cigarettes? Please be as specific as you can. - Store/Vendor Name,,,,,,,,,,,,,,,
t1_habit_01_new_2,survey_measures,t1onlysmoking_behavior_from_qualtrics,text,Where do you usually buy your cigarettes? Please be as specific as you can. - Street Address or Nearby Cross-Section,,,,,,,,,,,,,,,
t1_habit_01_new_3,survey_measures,t1onlysmoking_behavior_from_qualtrics,text,"Where do you usually buy your cigarettes? Please be as specific as you can. - City, State",,,,,,,,,,,,,,,
t1_habit_01_new_4,survey_measures,t1onlysmoking_behavior_from_qualtrics,text,Where do you usually buy your cigarettes? Please be as specific as you can. - Zip Code,,,,,,,,,,,,,,,
t1_habit_01_old,survey_measures,t1onlysmoking_behavior_from_qualtrics,text,Where do you usually buy your cigarettes?,,,,,,,,,,,,,,,
t1_habit_02,survey_measures,t1onlysmoking_behavior_from_qualtrics,radio,How often do you buy cigarettes (at any location)?,"6, At least once a day | 5, A few times a week (please specify how many) | 4, Once a week | 3, A few times a month (please specify how many) | 2, Once a month | 1, Less than once a month (please specify how often)",,,,,,,,,,,,,,
t1_habit_02_5_text,survey_measures,t1onlysmoking_behavior_from_qualtrics,text,A few times a week (please specify how many),,,,,,,,,,,,,,,
t1_habit_02_3_text,survey_measures,t1onlysmoking_behavior_from_qualtrics,text,A few times a month (please specify how many),,,,,,,,,,,,,,,
t1_habit_02_1_text,survey_measures,t1onlysmoking_behavior_from_qualtrics,text,"Less than once a month (please specify how often)
",,,,,,,,,,,,,,,
bhv_01_new_1_1_1,survey_measures,tcorssmoking_behavior_from_qualtrics,text,"On average over the past week, how much have you smoked PER DAY? (average daily amount)",,,,,,,,,,,,,,,
bhv_01_new_2_1,survey_measures,,dropdown,"On average over the past week, how much have you smoked PER DAY? (unit)","1, cigarettes | 2, packs",,,,,,,,,,,,,,
bhv_02_new_01,survey_measures,tcorssmoking_behavior_from_qualtrics,radio,"How often do you currently use each of the following nicotine or tobacco products?

Manufactured cigarettes (that is regular pre-packaged cigarettes from a store)?","1, Never | 2, Less than monthly | 3, Monthly | 4, Weekly | 5, Daily",,,,,,,,,,,,,,
bhv_02_new_02,survey_measures,tcorssmoking_behavior_from_qualtrics,radio,"How often do you currently use each of the following nicotine or tobacco products?

E-cigarettes or vaping with nicotine?","1, Never | 2, Less than monthly | 3, Monthly | 4, Weekly | 5, Daily",,,,,,,,,,,,,,
bhv_02_new_03,survey_measures,tcorssmoking_behavior_from_qualtrics,radio,"How often do you currently use each of the following nicotine or tobacco products?

Roll your own cigarettes?","1, Never | 2, Less than monthly | 3, Monthly | 4, Weekly | 5, Daily",,,,,,,,,,,,,,
bhv_02_new_04,survey_measures,tcorssmoking_behavior_from_qualtrics,radio,"How often do you currently use each of the following nicotine or tobacco products?

Kreteks or clove cigarettes","1, Never | 2, Less than monthly | 3, Monthly | 4, Weekly | 5, Daily",,,,,,,,,,,,,,
bhv_02_new_05,survey_measures,tcorssmoking_behavior_from_qualtrics,radio,"How often do you currently use each of the following nicotine or tobacco products?

Pipes full of tobacco","1, Never | 2, Less than monthly | 3, Monthly | 4, Weekly | 5, Daily",,,,,,,,,,,,,,
bhv_02_new_06,survey_measures,tcorssmoking_behavior_from_qualtrics,radio,"How often do you currently use each of the following nicotine or tobacco products?

Large, or traditional, cigars","1, Never | 2, Less than monthly | 3, Monthly | 4, Weekly | 5, Daily",,,,,,,,,,,,,,
bhv_02_new_07,survey_measures,tcorssmoking_behavior_from_qualtrics,radio,"How often do you currently use each of the following nicotine or tobacco products?

Little cigars, filtered cigars, cheroots, or cigarillos","1, Never | 2, Less than monthly | 3, Monthly | 4, Weekly | 5, Daily",,,,,,,,,,,,,,
bhv_02_new_08,survey_measures,tcorssmoking_behavior_from_qualtrics,radio,"How often do you currently use each of the following nicotine or tobacco products?

Water pipe, hookah, shishah","1, Never | 2, Less than monthly | 3, Monthly | 4, Weekly | 5, Daily",,,,,,,,,,,,,,
bhv_02_new_09,survey_measures,tcorssmoking_behavior_from_qualtrics,radio,"How often do you currently use each of the following nicotine or tobacco products?

Smokeless oral tobacco (such as snus, chew or dip)","1, Never | 2, Less than monthly | 3, Monthly | 4, Weekly | 5, Daily",,,,,,,,,,,,,,
bhv_03,survey_measures,tcorssmoking_behavior_from_qualtrics,radio,"How often do you currently use smokeless tobacco (like chewing tobacco, snuff, or snus)?
","1, Daily | 2, Less than daily | 3, Not at all | 4, Don't know",,,,,,,,,,,,,,
bhv_02_new_10,survey_measures,tcorssmoking_behavior_from_qualtrics,radio,"How often do you currently use each of the following nicotine or tobacco products?

Nicotine pouches (such as ZYN)","1, Never | 2, Less than monthly | 3, Monthly | 4, Weekly | 5, Daily",,,,,,,,,,,,,,
bhv_02_new_11,survey_measures,tcorssmoking_behavior_from_qualtrics,radio,"How often do you currently use each of the following nicotine or tobacco products?

Nicotine gum","1, Never | 2, Less than monthly | 3, Monthly | 4, Weekly | 5, Daily",,,,,,,,,,,,,,
bhv_02_new_12,survey_measures,tcorssmoking_behavior_from_qualtrics,radio,"How often do you currently use each of the following nicotine or tobacco products?

Nicotine patches","1, Never | 2, Less than monthly | 3, Monthly | 4, Weekly | 5, Daily",,,,,,,,,,,,,,
bhv_02_new_13,survey_measures,tcorssmoking_behavior_from_qualtrics,radio,"How often do you currently use each of the following nicotine or tobacco products?

Other 1 ([bhv_02_new_12_text])","1, Never | 2, Less than monthly | 3, Monthly | 4, Weekly | 5, Daily",,,,,,,,,,,,,,
bhv_02_new_13_text,survey_measures,tcorssmoking_behavior_from_qualtrics,text,"Text entry for bhv_02_new_12 = ""Other 1 (please describe)""",,,,,,,,,,,,,,,
bhv_02_new_14,survey_measures,tcorssmoking_behavior_from_qualtrics,radio,"How often do you currently use each of the following nicotine or tobacco products?

Other 2 ([bhv_02_new_13_text])","1, Never | 2, Less than monthly | 3, Monthly | 4, Weekly | 5, Daily",,,,,,,,,,,,,,
bhv_02_new_14_text,survey_measures,tcorssmoking_behavior_from_qualtrics,text,"Text entry for bhv_02_new_13 = ""Other 2 (please describe)""",,,,,,,,,,,,,,,
bhv_02_new_15,survey_measures,tcorssmoking_behavior_from_qualtrics,radio,"How often do you currently use each of the following nicotine or tobacco products?

Other 3 ([bhv_02_new_14_text])","1, Never | 2, Less than monthly | 3, Monthly | 4, Weekly | 5, Daily",,,,,,,,,,,,,,
bhv_02_new_15_text,survey_measures,tcorssmoking_behavior_from_qualtrics,text,"Text entry for bhv_02_new_14 =""Other 3 (please describe)""",,,,,,,,,,,,,,,
q402_01,survey_measures,tcorssmoking_behavior_from_qualtrics,radio,"Where do you most frequently purchase each product?

Manufactured cigarettes (that is regular pre-packaged cigarettes from a store)?","1, In a store | 2, Online | 3, Other",,,,,,,,,,,,,,
q402_02,survey_measures,tcorssmoking_behavior_from_qualtrics,radio,"Where do you most frequently purchase each product?

E-cigarettes or vaping with nicotine?","1, In a store | 2, Online | 3, Other",,,,,,,,,,,,,,
q402_03,survey_measures,tcorssmoking_behavior_from_qualtrics,radio,"Where do you most frequently purchase each product?

Roll your own cigarettes?","1, In a store | 2, Online | 3, Other",,,,,,,,,,,,,,
q402_04,survey_measures,tcorssmoking_behavior_from_qualtrics,radio,"Where do you most frequently purchase each product?

Kreteks or clove cigarettes","1, In a store | 2, Online | 3, Other",,,,,,,,,,,,,,
q402_05,survey_measures,tcorssmoking_behavior_from_qualtrics,radio,"Where do you most frequently purchase each product?

Pipes full of tobacco","1, In a store | 2, Online | 3, Other",,,,,,,,,,,,,,
q402_06,survey_measures,tcorssmoking_behavior_from_qualtrics,radio,"Where do you most frequently purchase each product?

Large, or traditional, cigars","1, In a store | 2, Online | 3, Other",,,,,,,,,,,,,,
q402_07,survey_measures,tcorssmoking_behavior_from_qualtrics,radio,"Where do you most frequently purchase each product?

Little cigars, filtered cigars, cheroots, or cigarillos","1, In a store | 2, Online | 3, Other",,,,,,,,,,,,,,
q402_08,survey_measures,tcorssmoking_behavior_from_qualtrics,radio,"Where do you most frequently purchase each product?

Water pipe, hookah, shishah","1, In a store | 2, Online | 3, Other",,,,,,,,,,,,,,
q402_09,survey_measures,tcorssmoking_behavior_from_qualtrics,radio,"Where do you most frequently purchase each product?

Smokeless oral tobacco (such as snus, chew or dip)","1, In a store | 2, Online | 3, Other",,,,,,,,,,,,,,
q402_10,survey_measures,tcorssmoking_behavior_from_qualtrics,radio,"Where do you most frequently purchase each product?

Nicotine pouches (such as ZYN)","1, In a store | 2, Online | 3, Other",,,,,,,,,,,,,,
q402_11,survey_measures,tcorssmoking_behavior_from_qualtrics,radio,"Where do you most frequently purchase each product?

Nicotine gum","1, In a store | 2, Online | 3, Other",,,,,,,,,,,,,,
q402_12,survey_measures,tcorssmoking_behavior_from_qualtrics,radio,"Where do you most frequently purchase each product?

Nicotine patches","1, In a store | 2, Online | 3, Other",,,,,,,,,,,,,,
q402_13,survey_measures,tcorssmoking_behavior_from_qualtrics,radio,"Where do you most frequently purchase each product?

Other 1 ([bhv_02_new_13_text])","1, In a store | 2, Online | 3, Other",,,,,,,,,,,,,,
q402_13_text,survey_measures,,text,Other (1),,,,,,,,,,,,,,,
q402_14,survey_measures,tcorssmoking_behavior_from_qualtrics,radio,"Where do you most frequently purchase each product?

Other 2 ([bhv_02_new_14_text])","1, In a store | 2, Online | 3, Other",,,,,,,,,,,,,,
q402_14_text,survey_measures,,text,Other (2),,,,,,,,,,,,,,,
q402_15,survey_measures,tcorssmoking_behavior_from_qualtrics,radio,"Where do you most frequently purchase each product?

Other 3 ([bhv_02_new_15_text])","1, In a store | 2, Online | 3, Other",,,,,,,,,,,,,,
q402_15_text,survey_measures,tcorssmoking_behavior_from_qualtrics,text,Other (3),,,,,,,,,,,,,,,
q403_1,survey_measures,tcorssmoking_behavior_from_qualtrics,text,"You chose ""Other"" for at least one product. Please describe where you most frequently purchase each of those products.

Manufactured cigarettes (that is regular pre-packaged cigarettes from a store)?",,,,,,,[q402_01]=3,,,,,,,,
q403_2,survey_measures,tcorssmoking_behavior_from_qualtrics,text,"You chose ""Other"" for at least one product. Please describe where you most frequently purchase each of those products.

E-cigarettes or vaping with nicotine?",,,,,,,,,,,,,,,
q403_3,survey_measures,tcorssmoking_behavior_from_qualtrics,text,"You chose ""Other"" for at least one product. Please describe where you most frequently purchase each of those products.

Roll your own cigarettes?",,,,,,,,,,,,,,,
q403_4,survey_measures,tcorssmoking_behavior_from_qualtrics,text,"You chose ""Other"" for at least one product. Please describe where you most frequently purchase each of those products.

Kreteks or clove cigarettes",,,,,,,,,,,,,,,
q403_5,survey_measures,tcorssmoking_behavior_from_qualtrics,text,"You chose ""Other"" for at least one product. Please describe where you most frequently purchase each of those products.

Pipes full of tobacco",,,,,,,,,,,,,,,
q403_6,survey_measures,tcorssmoking_behavior_from_qualtrics,text,"You chose ""Other"" for at least one product. Please describe where you most frequently purchase each of those products.

Large, or traditional, cigars",,,,,,,,,,,,,,,
q403_7,survey_measures,tcorssmoking_behavior_from_qualtrics,text,"You chose ""Other"" for at least one product. Please describe where you most frequently purchase each of those products.

Little cigars, filtered cigars, cheroots, or cigarillos",,,,,,,,,,,,,,,
q403_8,survey_measures,tcorssmoking_behavior_from_qualtrics,text,"You chose ""Other"" for at least one product. Please describe where you most frequently purchase each of those products.

Water pipe, hookah, shishah",,,,,,,,,,,,,,,
q403_9,survey_measures,tcorssmoking_behavior_from_qualtrics,text,"You chose ""Other"" for at least one product. Please describe where you most frequently purchase each of those products.

Smokeless oral tobacco (such as snus, chew or dip)",,,,,,,,,,,,,,,
q403_10,survey_measures,tcorssmoking_behavior_from_qualtrics,text,"You chose ""Other"" for at least one product. Please describe where you most frequently purchase each of those products.

Nicotine pouches (such as ZYN)",,,,,,,,,,,,,,,
q403_11,survey_measures,tcorssmoking_behavior_from_qualtrics,text,"You chose ""Other"" for at least one product. Please describe where you most frequently purchase each of those products.

Nicotine gum",,,,,,,,,,,,,,,
q403_12,survey_measures,tcorssmoking_behavior_from_qualtrics,text,"You chose ""Other"" for at least one product. Please describe where you most frequently purchase each of those products.

Nicotine patches",,,,,,,,,,,,,,,
q403_13,survey_measures,tcorssmoking_behavior_from_qualtrics,text,"You chose ""Other"" for at least one product. Please describe where you most frequently purchase each of those products.

Other 1 ([bhv_02_new_12_text])",,,,,,,,,,,,,,,
q403_14,survey_measures,tcorssmoking_behavior_from_qualtrics,text,"You chose ""Other"" for at least one product. Please describe where you most frequently purchase each of those products.

Other 2 ([bhv_02_new_13_text])",,,,,,,,,,,,,,,
q403_15,survey_measures,tcorssmoking_behavior_from_qualtrics,text,"You chose ""Other"" for at least one product. Please describe where you most frequently purchase each of those products.

Other 3 ([bhv_02_new_14_text])",,,,,,,,,,,,,,,
q404_01,survey_measures,tcorssmoking_behavior_from_qualtrics,radio,"Do you ever purchase any of these products in a store?

Manufactured cigarettes (that is regular pre-packaged cigarettes from a store)?","1, Yes | 2, No",,,,,,,,,,,,,,
q404_02,survey_measures,tcorssmoking_behavior_from_qualtrics,radio,"Do you ever purchase any of these products in a store?

E-cigarettes or vaping with nicotine?","1, Yes | 2, No",,,,,,,,,,,,,,
q404_03,survey_measures,tcorssmoking_behavior_from_qualtrics,radio,"Do you ever purchase any of these products in a store?

Roll your own cigarettes?","1, Yes | 2, No",,,,,,,,,,,,,,
q404_04,survey_measures,tcorssmoking_behavior_from_qualtrics,radio,"Do you ever purchase any of these products in a store?

Kreteks or clove cigarettes","1, Yes | 2, No",,,,,,,,,,,,,,
q404_05,survey_measures,tcorssmoking_behavior_from_qualtrics,radio,"Do you ever purchase any of these products in a store?

Pipes full of tobacco","1, Yes | 2, No",,,,,,,,,,,,,,
q404_06,survey_measures,tcorssmoking_behavior_from_qualtrics,radio,"Do you ever purchase any of these products in a store?

Large, or traditional, cigars","1, Yes | 2, No",,,,,,,,,,,,,,
q404_07,survey_measures,tcorssmoking_behavior_from_qualtrics,radio,"Do you ever purchase any of these products in a store?

Little cigars, filtered cigars, cheroots, or cigarillos","1, Yes | 2, No",,,,,,,,,,,,,,
q404_08,survey_measures,tcorssmoking_behavior_from_qualtrics,radio,"Do you ever purchase any of these products in a store?

Water pipe, hookah, shishah","1, Yes | 2, No",,,,,,,,,,,,,,
q404_09,survey_measures,tcorssmoking_behavior_from_qualtrics,radio,"Do you ever purchase any of these products in a store?

Smokeless oral tobacco (such as snus, chew or dip)","1, Yes | 2, No",,,,,,,,,,,,,,
q404_10,survey_measures,tcorssmoking_behavior_from_qualtrics,radio,"Do you ever purchase any of these products in a store?

Nicotine pouches (such as ZYN)","1, Yes | 2, No",,,,,,,,,,,,,,
q404_11,survey_measures,tcorssmoking_behavior_from_qualtrics,radio,"Do you ever purchase any of these products in a store?

Nicotine gum","1, Yes | 2, No",,,,,,,,,,,,,,
q404_12,survey_measures,tcorssmoking_behavior_from_qualtrics,radio,"Do you ever purchase any of these products in a store?

Nicotine patches","1, Yes | 2, No",,,,,,,,,,,,,,
q404_13,survey_measures,tcorssmoking_behavior_from_qualtrics,radio,"Do you ever purchase any of these products in a store?

Other 1 ([bhv_02_new_12_text])","1, Yes | 2, No",,,,,,,,,,,,,,
q404_13_text,survey_measures,tcorssmoking_behavior_from_qualtrics,text,Text for q404_13,,,,,,,,,,,,,,,
